$
[M]950
[S]BNCRCRSJ
[R]CHASUS33XXX
[20]CARGA6
[25]1140128800102750026
[28C]0006
(1)
[60F]D100507USD479910,65
[61]100507D14,00S1030608800117ES
[61]100507D21,00S1031356764045101103
[61]100507D68,30S103180-1317
(PAGOGUIADHL7404483450DEVOLUCION)
[61]100507D100,00S1030703600125ES
[61]100507D110,00S1030201600125ES
[61]100507D171,00S1032139877
[61]100507D253,00S1030459709125FF
[61]100507D282,25S103PEN1840325/00002
[61]100507D316,38S1033015481717
[61]100507D324,10S1038023900123JN
[61]100507D350,00S1032010050300062964
[61]100507D485,00S1035443400125FC
[61]100507D490,98S1032010050500249768
[61]100507D508,00S1033605900125FC
[61]100507D645,00S1032914200125JO
[61]100507D900,00S1030214300125ES
[61]100507D942,00S1030949000125ES
[61]100507D985,00S1032912800125JO
[61]100507D985,00S1031746609125FF
[61]100507D1000,00S1030856900125ES
[61]100507D1000,00S1030177900125ES
[61]100507D1000,00S1032010050500012881
[61]100507D1235,00S1033587309125FF
[61]100507D1440,00S1032010050400101940
[61]100507D1465,00S1035465900125FC
[61]100507D1485,00S1032824209125FF
[61]100507D1600,00S1030097000125ES
[61]100507D1735,00S10360076165
[61]100507D1791,00S103125312694
[61]100507D2000,00S103167599515
[61]100507D2440,60S1037609200123FS
[61]100507D2500,00S103FX356182
[61]100507D2500,00S1032010050500010226
[61]100507D2500,00S1030120000125ZM
[61]100507D2622,00S1030850400122FS
[61]100507D2806,54S103MINO103101250242
[61]100507D2985,00S1032907600125JO
[61]100507D2985,00S1032907700125JO
[61]100507D3000,00S1032140636
[61]100507D3000,00S1030124800125ES
[61]100507D3000,00S1030785900125ES
[61]100507D3105,10S1033845700125FC
[61]100507D3421,88S1033265500125JO
[61]100507D3470,00S1031093400125JS
[61]100507D3947,11S103CA100504276701
[61]100507D3985,00S1034672300125FC
[61]100507D4960,00S103100505500924
[61]100507D4985,00S1031461400124JO
[61]100507D4985,00S1036523900123FS
[61]100507D5000,00S1030092700125ES
[61]100507D5678,00S10360077480
[61]100507D7500,00S1032010050600010200
[61]100507D9000,00S1030087100126ES
[61]100507D10000,00S103100505501044
[61]100507D10685,00S1034548709126FF
[61]100507D10894,00S103126300901
[61]100507D12470,00S1034354300126JO
[61]100507D12661,29S103140029424
[61]100507D12945,00S1035316500126FC
[61]100507D14877,88S1030482300126ES
[61]100507D15364,39S1036534300126JS
[61]100507D16837,50S1035126600126FC
[61]100507D17492,00S1035194800126FC
[61]100507D17957,00S1038578000125FS
[61]100507D19985,00S1034751500126FC
[61]100507D24000,00S1032010050600010199
[61]100507D24959,00S1038690500124JS
[61]100507D28127,40S1030024200126BN
[61]100507D31596,69S1035126500126FC
[61]100507D33267,88S1034408809126FF
[61]100507D34200,72S1035126400126FC
[61]100507D37694,80S1032532700124JS
[61]100507D39449,10S103130015259
[61]100507D65000,00S1030523700126ES
[61]100507D99985,00S1036779000126FC
[61]100507D150000,00S1032010042900022916
[61]100507D164865,79S1035157400123FS
[61]100507D200000,00S1032010050500028125
[61]100507D204467,36S103130015320
[61]100507D243313,00S1032032100123ES
[61]100507D280876,00S1031794000127JO
[61]100507D299965,00S1034157200125FS
[61]100507D2000000,00S10312415-01
(LOTE162,REGISTRODETRASPASOS)
[61]100507C275,00S10360084786
[61]100507C609,00S10360173302
[61]100507C1100,00S10362166762
[61]100507C1300,00S10360077934
[61]100507C1308,86S10361224173
[61]100507C1418,78S10362166361
[61]100507C1486,51S10361223520
[61]100507C1500,00S10362166637
[61]100507C1760,00S10360038364
[61]100507C1950,00S10361223432
[61]100507C2000,00S10360173393
[61]100507C2600,00S10360173286
[61]100507C2700,00S10362165941
[61]100507C2854,00S10362166557
[61]100507C2922,00S10360077952
[61]100507C3000,00S10360014601
[61]100507C3000,00S10362166343
[61]100507C3053,03S10360198184
[61]100507C3130,11S10362166708
[61]100507C3241,92S10361223682
[61]100507C3591,80S10361223441
[61]100507C3918,45S10360198157
[61]100507C4481,74S10361224039
[61]100507C4581,74S10361224164
[61]100507C4771,86S10361224547
[61]100507C5000,00S10361223334
[61]100507C5131,00S10361223496
[61]100507C5267,00S10360084795
[61]100507C5941,00S10360007562
[61]100507C6250,00S10360173339
[61]100507C6400,00S10360077961
[61]100507C7021,93S10361223478
[61]100507C8025,00S10360000359
[61]100507C8108,14S10362166593
[61]100507C8981,25S10360173366
[61]100507C9125,00S10361223799
[61]100507C9970,00S10360198166
[61]100507C10000,00S10361223673
[61]100507C12000,00S10361223584
[61]100507C13682,10S10362166584
[61]100507C14124,07S10362166389
[61]100507C14780,00S10361224360
[61]100507C15377,55S10361224048
[61]100507C15600,00S10361224075
[61]100507C16000,00S10360014638
[61]100507C16522,26S10360173437
[61]100507C19000,00S10361224716
[61]100507C20000,00S10360084740
[61]100507C20185,38S10360077989
[61]100507C22020,63S10361223780
[61]100507C29015,90S10361223771
[61]100507C32813,60S10310032102
[61]100507C36921,14S10362166441
[61]100507C38794,00S10361223655
[61]100507C94325,00S10360198175
[61]100507C124103,63S10360173446
[61]100507C138400,96S10361223600
[61]100507C301952,87S10360114852
[61]100507C335602,22S10310031826
[61]100507C998366,00S10360084802
[62F]D100507USD2240563,26
@@
