$
[M]950
[S]BNCRCRSJ
[R]CHASUS33XXX
[20]CARGA9
[25]1140128800102750026
[28C]0009
(1)
[60F]D100512USD1237495,32
[61]100512D60,35S1033513500130JO
[61]100512D87,00S1036681300130FC
[61]100512D105,00S1035635800130FC
[61]100512D200,00S103CA100510032936
[61]100512D205,26S1033012700131JS
[61]100512D210,00S103OP072223196
[61]100512D250,00S1031166200130ES
[61]100512D300,00S103A3648TI172870126
[61]100512D308,90S1031147300130FC
[61]100512D435,00S1033360109130FF
[61]100512D436,00S1038018900131JN
[61]100512D440,00S103100510500798
[61]100512D500,00S1031475500130ES
[61]100512D500,00S103130313297
[61]100512D500,00S1035983900131JS
[61]100512D550,00S1030668400130ES
[61]100512D589,30S1031005067729932/I
[61]100512D685,00S1035055700123JO
[61]100512D685,00S1030989400130JS
[61]100512D700,00S1031692100130ES
[61]100512D785,00S1034097800130JO
[61]100512D800,00S103130337123
[61]100512D952,03S1030608900130FS
[61]100512D963,00S10361219919
[61]100512D985,00S1033093400130JO
[61]100512D1000,00S1031167600130ES
[61]100512D1250,00S103OP034793437
[61]100512D1485,00S1030575000130JS
[61]100512D1500,00S1032010051000003676
[61]100512D1585,00S1030473700130JS
[61]100512D1615,00S1037575300130FC
[61]100512D1965,00S1039820300129JS
[61]100512D1985,00S1034195009130FF
[61]100512D2000,00S1032010051000024657
[61]100512D2000,00S103P790830823216
[61]100512D2104,21S1030215700130JS
[61]100512D2219,20S1033650660915519815
[61]100512D2384,29S1033572709130FF
[61]100512D2465,00S1037561300130FC
[61]100512D2985,00S1035357009130FF
[61]100512D3010,00S103130316328
[61]100512D3192,77S1036381600126JS
[61]100512D3500,00S103167598115
[61]100512D3500,00S1031191500130ES
[61]100512D3620,00S103CA100507500386
[61]100512D4000,00S1030777800130ES
[61]100512D4278,15S1030559200130JS
[61]100512D4393,00S1031403400130JS
[61]100512D4614,00S1033086100130JO
[61]100512D4832,50S1032010050600014369
[61]100512D4970,00S1034574409130FF
[61]100512D4985,00S1031144300130JS
[61]100512D4985,00S1034740809130FF
[61]100512D4985,00S1031469909130FF
[61]100512D5000,00S1030407800130ES
[61]100512D5000,00S103I09D10127N81357
[61]100512D5542,00S1033958900131FS
[61]100512D5794,00S1033959100131FS
[61]100512D6000,00S1039464009OP5808741
[61]100512D6000,00S1032010051100018886
[61]100512D6155,40S103P82000982321
[61]100512D6725,00S1031516000130ES
[61]100512D6875,00S1032323209130FF
[61]100512D7000,00S1032146180
[61]100512D7185,00S1037033100131JS
[61]100512D8000,00S1031282700130ES
[61]100512D8306,25S103CA100510034494
[61]100512D9000,00S1030168500130ES
[61]100512D9000,00S1030172800130ES
[61]100512D9049,15S1035361300130FS
[61]100512D9763,00S1030463500130JS
[61]100512D9822,60S1035110600131FC
[61]100512D9861,88S1031094700131ES
[61]100512D9985,00S1033269009130FF
[61]100512D9985,00S1034003000130JO
[61]100512D10000,00S103197022-97345
[61]100512D10000,00S1030225200130ES
[61]100512D10000,00S1032010050700008740
[61]100512D10000,00S1030212600131ES
[61]100512D10000,00S1030378900131ES
[61]100512D10049,00S103130307191
[61]100512D10102,43S1035353000130FC
[61]100512D10153,00S1030602400130ES
[61]100512D10706,23S103F60510073762000
[61]100512D12300,00S1030179100127JS
[61]100512D12368,60S1038515200126JS
[61]100512D12710,00S103CA100510160144
[61]100512D12952,75S1031413900131ES
[61]100512D12971,50S1036126100126FS
[61]100512D13977,49S10361221112
[61]100512D15000,00S1032010051000003350
[61]100512D15202,00S1032010051000008570
[61]100512D15571,62S103FTS1005102819900
[61]100512D15845,00S1032569400127JS
[61]100512D15901,25S1036024000131FC
[61]100512D16960,00S1035614700130FC
[61]100512D16975,00S103130428865
[61]100512D17327,00S103CA100510260630
[61]100512D17913,74S1034663500131FC
[61]100512D19985,00S1036048200131JJ
[61]100512D21332,90S1034990400132FC
[61]100512D22391,61S1034969509132FF
[61]100512D25854,87S1037113400130FC
[61]100512D26930,18S1032653909130FF
[61]100512D32669,00S1038413200132FS
