$
[M]950
[S]IBIIPRSJ
[R]BMARES2MXXX
[20]391366
[25]110014
[28C]001
(1)
[60F]D120514USD1882557,12
[61]120514C262,32S103391565
[61]120514C285,00S103391191
[61]120514C285,00S103391193
[61]120514C285,00S103391199
[61]120514C285,00S103391201
[61]120514C285,00S103391215
[61]120514C285,00S103391219
[61]120514C285,00S103391221
[61]120514C285,00S103391223
[61]120514C285,00S103390864
[61]120514C285,00S103390868
[61]120514C285,00S103390870
[61]120514C285,00S103390842
[61]120514C285,00S103390844
[61]120514C285,00S103390846
[61]120514C285,00S103390848
[61]120514C285,00S103390850
[61]120514C285,00S103390852
[61]120514C285,00S103390862
[61]120514C285,00S103390838
[61]120514C285,00S103390840
[61]120514C285,00S103390872
[61]120514C285,00S103391189
[61]120514C285,00S103391248
[61]120514C285,00S103391250
[61]120514C285,00S103391252
[61]120514C285,00S103391254
[61]120514C285,00S103391256
[61]120514C285,00S103391262
[61]120514C285,00S103391264
[61]120514C285,00S103391266
[61]120514C285,00S103391282
[61]120514C285,00S103391286
[61]120514C285,00S103391290
[61]120514C285,00S103391268
[61]120514C285,00S103391270
[61]120514C285,00S103391272
[61]120514C285,00S103391274
[61]120514C285,00S103391276
[61]120514C285,00S103391278
[61]120514C285,00S103391280
[61]120514C285,00S103391225
[61]120514C285,00S103391244
[61]120514C285,00S103391246
[61]120514C285,00S103391284
[61]120514C285,00S103391288
[61]120514C285,00S103391213
[61]120514C285,00S103391217
[61]120514C285,00S103391258
[61]120514C285,00S103391260
[61]120514C285,00S103391195
[61]120514C285,00S103391197
[61]120514C285,00S103391203
[61]120514C285,00S103391205
[61]120514C285,00S103390854
[61]120514C285,00S103390856
[61]120514C285,00S103390858
[61]120514C285,00S103390860
[61]120514C285,00S103390874
[61]120514C285,00S103390876
[61]120514C285,00S103391187
[61]120514C285,00S103391207
[61]120514C285,00S103391209
[61]120514C285,00S103391211
[61]120514C617,00S103390996
[61]120514C2832,54S103390866
[61]120514C2865,42S103391292
[61]120514C3710,00S103391563
[61]120514C4500,00S103390903
[61]120514C10000,00S103391373
[61]120514C29113,96S103391000
[61]120514C44700,00S103391185
[61]120514C150000,00S103391590
[61]120514C200000,00S103391371
[61]120514C408023,51S103390835
[62F]D120514USD1007977,37
@@



